category_id,origin_id,label_id,name,explanation_url,recipe_url
4,032,25,무생채,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EB%AC%B4%EC%83%9D%EC%B1%84&pagenum=1&idx_no=285,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56949
4,033,26,배추김치,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62470,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56941
4,034,27,백김치,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EB%B0%B1%EA%B9%80%EC%B9%98&pagenum=1&idx_no=70,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56946
4,035,28,부추김치,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62474,
4,036,29,열무김치,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62476,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56948
4,037,30,오이소박이,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62478,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56950
4,038,31,총각김치,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62479,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56951
4,039,32,파김치,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62480,
5,040,33,가지볶음,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62090,
5,041,34,고사리나물,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EA%B3%A0%EC%82%AC%EB%A6%AC%EB%82%98%EB%AC%BC&pagenum=1&idx_no=325,
5,042,35,미역줄기볶음,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62120,
5,043,36,숙주나물,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62183,
5,044,37,시금치나물,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62184,
5,045,38,애호박볶음,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62123,
6,046,39,경단,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62496,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56980
6,047,40,꿀떡,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62498,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56982
6,048,41,송편,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62502,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56981
7,049,42,만두,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EB%A7%8C%EB%91%90&pagenum=1&idx_no=54,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56842
8,051,43,막국수,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=61866,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56839
8,052,44,물냉면,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=61869,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56833
8,053,45,비빔냉면,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=61874,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56834
8,054,46,수제비,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EC%88%98%EC%A0%9C%EB%B9%84&pagenum=1&idx_no=599,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56838
8,055,47,열무국수,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=61880,
8,056,48,잔치국수,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=61885,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56831
8,057,49,짜장면,,
8,058,50,짬뽕,,
8,059,51,쫄면,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=61890,
8,060,52,칼국수,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EC%B9%BC%EA%B5%AD%EC%88%98&pagenum=1&idx_no=584,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56836
8,061,53,콩국수,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=61896,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56841
9,062,54,꽈리고추무침,,
9,063,55,도라지생채,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62204,
9,064,56,도토리묵,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EB%8F%84%ED%86%A0%EB%A6%AC%EB%AC%B5&pagenum=1&idx_no=293,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56964
9,065,57,잡채,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EC%9E%A1%EC%B1%84&pagenum=1&idx_no=308,
9,066,58,콩나물무침,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62193,
9,067,59,홍어회무침,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62458,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56976
9,068,60,회무침,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62459,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56977
10,069,61,김밥,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EA%B9%80%EB%B0%A5&pagenum=1&idx_no=667,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56795
10,070,62,김치볶음밥,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=61764,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56798
10,071,63,누룽지,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EB%88%84%EB%A3%BD%EC%A7%80&pagenum=1&idx_no=671,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56799
10,072,64,비빔밥,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EB%B9%84%EB%B9%94%EB%B0%A5&pagenum=1&idx_no=682,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56801
